Counties,Rate
ALAMANCE ,.5800
ALEXANDER ,.7900
ALLEGHANY  ,.5125
ANSON ,.8010
ASHE ,.4330
AVERY ,.4472
BEAUFORT ,.5500
BERTIE ,.8300
BLADEN ,.8200
BRUNSWICK ,.4850
BUNCOMBE ,.6040
BURKE ,.6800
CABARRUS ,.7000
CALDWELL ,.6300
CAMDEN ,.6800
CARTERET ,.3100
CASWELL ,.6790
CATAWBA ,.5750
CHATHAM ,.6338
CHEROKEE ,.5200
CHOWAN ,.7400
CLAY ,.3600
CLEVELAND ,.7200
COLUMBUS ,.8050
CRAVEN ,.5394
CUMBERLAND ,.7400
CURRITUCK ,.4800
DARE ,.4300
DAVIDSON ,.5400
DAVIE ,.7280
DUPLIN ,.7300
DURHAM ,.7404
EDGECOMBE ,.9500
FORSYTH ,.7310
FRANKLIN ,.9250
GASTON ,.8700
GATES ,.6800
GRAHAM ,.5850
GRANVILLE ,.8800
GREENE ,.7860
GUILFORD ,.7550
HALIFAX ,.7800
HARNETT ,.7500
HAYWOOD ,.5661
HENDERSON ,.5650
HERTFORD ,.8400
HOKE ,.7500
HYDE ,.6400
IREDELL ,.5275
JACKSON ,.3700
JOHNSTON ,.7800
JONES ,.7900
LEE ,.7950
LENOIR ,.8350
LINCOLN ,.6110
MACON ,.3490
MADISON ,.5200
MARTIN ,.7350
MCDOWELL ,.5500
MECKLENBURG ,.8157
MITCHELL ,.5300
MONTGOMERY ,.6200
MOORE ,.4650
NASH ,.6700
NEW HANOVER ,.6230
NORTHAMPTON ,.9200
ONSLOW ,.6750
ORANGE ,.8780
PAMLICO ,.6250
PASQUOTANK ,.7600
PENDER ,.6850
PERQUIMANS ,.5700
PERSON ,.7000
PITT ,.6860
POLK ,.5375
RANDOLPH ,.6525
RICHMOND ,.7900
ROBESON ,.7700
ROCKINGHAM ,.6960
ROWAN ,.6625
RUTHERFORD ,.6070
SAMPSON ,.8300
SCOTLAND ,1.0200
STANLY ,.6700
STOKES ,.6200
SURRY ,.5820
SWAIN ,.3600
TRANSYLVANIA ,.5110
TYRRELL ,.6900
UNION ,.7665
VANCE ,.8900
WAKE ,.6005
WARREN ,.7100
WASHINGTON ,.8100
WATAUGA ,.3130
WAYNE ,.6635
WILKES ,.6700
WILSON ,.7300
YADKIN ,.6600
YANCEY ,.6000
